,year,month,time,time(not stupid format),gasprice
257,6,,1995.057692,1/21/1995,110.6
258,6,,1995.076923,1/28/1995,110
259,6,,1995.096154,2/4/1995,109.2
260,6,,1995.115385,2/11/1995,108.1
261,6,,1995.134615,2/18/1995,107.3
262,6,,1995.153846,2/25/1995,106.2
263,6,,1995.173077,3/4/1995,106
264,6,,1995.192308,3/11/1995,105.9
265,6,,1995.211538,3/18/1995,105.6
266,6,,1995.230769,3/25/1995,105.7
267,6,,1995.25,4/1/1995,105.8
268,6,,1995.269231,4/8/1995,105.7
269,6,,1995.288462,4/15/1995,107.2
270,6,,1995.307692,4/22/1995,107.5
271,6,,1995.326923,4/29/1995,107.7
272,6,,1995.346154,5/6/1995,108.6
273,6,,1995.365385,5/13/1995,109.2
274,6,,1995.384615,5/20/1995,108.4
275,6,,1995.403846,5/27/1995,107.9
276,6,,1995.423077,6/3/1995,107.6
277,6,,1995.442308,6/10/1995,107.3
278,6,,1995.461538,6/17/1995,107.8
279,6,,1995.480769,6/24/1995,109.9
280,6,,1995.5,7/1/1995,111.5
281,6,,1995.519231,7/8/1995,111.6
282,6,,1995.538462,7/15/1995,112.8
283,6,,1995.557692,7/22/1995,115.8
284,6,,1995.576923,7/29/1995,117.2
285,6,,1995.596154,8/5/1995,119.5
286,6,,1995.615385,8/12/1995,123.4
287,6,,1995.634615,8/19/1995,124.3
288,6,,1995.653846,8/26/1995,125.7
289,6,,1995.673077,9/2/1995,125.9
290,6,,1995.692308,9/9/1995,126.2
291,6,,1995.711538,9/16/1995,126.9
292,6,,1995.730769,9/23/1995,126
293,6,,1995.75,9/30/1995,125.2
294,6,,1995.769231,10/7/1995,124.7
295,6,,1995.788462,10/14/1995,124.1
296,6,,1995.807692,10/21/1995,123
297,6,,1995.826923,10/28/1995,121.9
298,6,,1995.846154,11/4/1995,121.7
299,6,,1995.865385,11/11/1995,121.5
300,6,,1995.884615,11/18/1995,121.5
301,6,,1995.903846,11/25/1995,120.9
302,6,,1995.923077,12/2/1995,119.9
303,6,,1995.942308,12/9/1995,119.6
304,6,,1995.961538,12/16/1995,119.9
305,6,,1995.980769,12/23/1995,120.1
306,6,,1996,12/31/1995,119.3
307,7,,1996.019231,1/7/1996,120.1
308,7,,1996.038462,1/14/1996,120.3
309,7,,1996.057692,1/21/1996,120.3
310,7,,1996.076923,1/28/1996,119.9
311,7,,1996.096154,2/4/1996,119.1
312,7,,1996.115385,2/11/1996,120.3
313,7,,1996.134615,2/18/1996,120.5
314,7,,1996.153846,2/25/1996,121.7
315,7,,1996.173077,3/3/1996,122.5
316,7,,1996.192308,3/10/1996,122.9
317,7,,1996.211538,3/17/1996,123.8
318,7,,1996.230769,3/24/1996,124.6
319,7,,1996.25,3/31/1996,124.2
320,7,,1996.269231,4/7/1996,124.1
321,7,,1996.288462,4/14/1996,123.3
322,7,,1996.307692,4/21/1996,122.7
323,7,,1996.326923,4/28/1996,122.4
324,7,,1996.346154,5/5/1996,122
325,7,,1996.365385,5/12/1996,123.5
326,7,,1996.384615,5/19/1996,123.6
327,7,,1996.403846,5/26/1996,123.2
328,7,,1996.423077,6/2/1996,123
329,7,,1996.442308,6/9/1996,122.7
330,7,,1996.461538,6/16/1996,122
331,7,,1996.480769,6/23/1996,121.7
332,7,,1996.5,7/1/1996,120.8
333,7,,1996.519231,7/8/1996,119.9
334,7,,1996.538462,7/15/1996,119.1
335,7,,1996.557692,7/22/1996,119.6
336,7,,1996.576923,7/29/1996,119.1
337,7,,1996.596154,8/5/1996,119.2
338,7,,1996.615385,8/12/1996,118.7
339,7,,1996.634615,8/19/1996,118.8
340,7,,1996.653846,8/26/1996,118.5
341,7,,1996.673077,9/2/1996,118.2
342,7,,1996.692308,9/9/1996,118.2
343,7,,1996.711538,9/16/1996,119.5
344,7,,1996.730769,9/23/1996,120.4
345,7,,1996.75,9/30/1996,120.6
346,7,,1996.769231,10/7/1996,119.8
347,7,,1996.788462,10/14/1996,118.9
348,7,,1996.807692,10/21/1996,117.9
349,7,,1996.826923,10/28/1996,117.1
350,7,,1996.846154,11/4/1996,116.9
351,7,,1996.865385,11/11/1996,116.5
352,7,,1996.884615,11/18/1996,117
353,7,,1996.903846,11/25/1996,116.4
354,7,,1996.923077,12/2/1996,118.5
355,7,,1996.942308,12/9/1996,121.9
356,7,,1996.961538,12/16/1996,121.8
357,7,,1996.980769,12/23/1996,123
358,7,,1997,12/31/1996,122.9
359,8,,1997.019231,1/7/1997,122.7
360,8,,1997.038462,1/14/1997,121.9
361,8,,1997.057692,1/21/1997,120.8
362,8,,1997.076923,1/28/1997,119.5
363,8,,1997.096154,2/4/1997,119.5
364,8,,1997.115385,2/11/1997,118.7
365,8,,1997.134615,2/18/1997,117.8
366,8,,1997.153846,2/25/1997,116.8
367,8,,1997.173077,3/4/1997,116.3
368,8,,1997.192308,3/11/1997,116.4
369,8,,1997.211538,3/18/1997,115.6
370,8,,1997.230769,3/25/1997,115
371,8,,1997.25,4/1/1997,114
372,8,,1997.269231,4/8/1997,112.8
373,8,,1997.288462,4/15/1997,111.8
374,8,,1997.307692,4/22/1997,110.8
375,8,,1997.326923,4/29/1997,109.9
376,8,,1997.346154,5/6/1997,108.9
377,8,,1997.365385,5/13/1997,108.3
378,8,,1997.384615,5/20/1997,107.2
379,8,,1997.403846,5/27/1997,105.5
380,8,,1997.423077,6/3/1997,105.1
381,8,,1997.442308,6/10/1997,104.5
382,8,,1997.461538,6/17/1997,103.2
383,8,,1997.480769,6/24/1997,103.8
384,8,,1997.5,7/1/1997,102.5
385,8,,1997.519231,7/8/1997,101.7
386,8,,1997.538462,7/15/1997,100.6
387,8,,1997.557692,7/22/1997,99.8
388,8,,1997.576923,7/29/1997,102.6
389,8,,1997.596154,8/5/1997,102.3
390,8,,1997.615385,8/12/1997,101.8
391,8,,1997.634615,8/19/1997,102.1
392,8,,1997.653846,8/26/1997,103.2
393,8,,1997.673077,9/2/1997,103.8
394,8,,1997.692308,9/9/1997,105.2
395,8,,1997.711538,9/16/1997,105.5
396,8,,1997.730769,9/23/1997,105.2
397,8,,1997.75,9/30/1997,104.7
398,8,,1997.769231,10/7/1997,106
399,8,,1997.788462,10/14/1997,104.9
400,8,,1997.807692,10/21/1997,104.1
401,8,,1997.826923,10/28/1997,104.2
402,8,,1997.846154,11/4/1997,104.1
403,8,,1997.865385,11/11/1997,103.7
404,8,,1997.884615,11/18/1997,104.4
405,8,,1997.903846,11/25/1997,103.5
406,8,,1997.923077,12/2/1997,102.3
407,8,,1997.942308,12/9/1997,101.8
408,8,,1997.961538,12/16/1997,101.1
409,8,,1997.980769,12/23/1997,100.4
410,8,,1998,12/31/1997,99.8
411,9,,1998.019231,1/7/1998,99.1
412,9,,1998.038462,1/14/1998,98.7
413,9,,1998.057692,1/21/1998,99.9
414,9,,1998.076923,1/28/1998,99.9
415,9,,1998.096154,2/4/1998,100.6
416,9,,1998.115385,2/11/1998,101
417,9,,1998.134615,2/18/1998,100.7
418,9,,1998.153846,2/25/1998,100.1
419,9,,1998.173077,3/4/1998,99.7
420,9,,1998.192308,3/11/1998,99.4
421,9,,1998.211538,3/18/1998,98.1
422,9,,1998.230769,3/25/1998,97.1
423,9,,1998.25,4/1/1998,95.4
424,9,,1998.269231,4/8/1998,93.3
425,9,,1998.288462,4/15/1998,92.3
426,9,,1998.307692,4/22/1998,92.1
427,9,,1998.326923,4/29/1998,91.4
428,9,,1998.346154,5/6/1998,91.3
429,9,,1998.365385,5/13/1998,92
430,9,,1998.384615,5/20/1998,92.1
431,9,,1998.403846,5/27/1998,91.3
432,9,,1998.423077,6/3/1998,90.8
433,9,,1998.442308,6/10/1998,90.7
434,9,,1998.461538,6/17/1998,89.9
435,9,,1998.480769,6/24/1998,88.5
436,9,,1998.5,7/1/1998,89.1
437,9,,1998.519231,7/8/1998,90
438,9,,1998.538462,7/15/1998,95.8
439,9,,1998.557692,7/22/1998,99.9
440,9,,1998.576923,7/29/1998,105.5
441,9,,1998.596154,8/5/1998,108.7
442,9,,1998.615385,8/12/1998,110.7
443,9,,1998.634615,8/19/1998,110.3
444,9,,1998.653846,8/26/1998,109.9
445,9,,1998.673077,9/2/1998,110.7
446,9,,1998.692308,9/9/1998,110.9
447,9,,1998.711538,9/16/1998,111.2
448,9,,1998.730769,9/23/1998,110.1
449,9,,1998.75,9/30/1998,108.8
450,9,,1998.769231,10/7/1998,109.2
451,9,,1998.788462,10/14/1998,108.8
452,9,,1998.807692,10/21/1998,110.5
453,9,,1998.826923,10/28/1998,109.5
454,9,,1998.846154,11/4/1998,111
455,9,,1998.865385,11/11/1998,112.3
456,9,,1998.884615,11/18/1998,114.8
457,9,,1998.903846,11/25/1998,117.2
458,9,,1998.923077,12/2/1998,117.2
459,9,,1998.942308,12/9/1998,118.3
460,9,,1998.961538,12/16/1998,121.4
461,9,,1998.980769,12/23/1998,121.2
462,9,,1999,12/31/1998,121.4
463,10,,1999.019231,1/7/1999,122.3
464,10,,1999.038462,1/14/1999,123.4
465,10,,1999.057692,1/21/1999,125.2
466,10,,1999.076923,1/28/1999,124.8
467,10,,1999.096154,2/4/1999,124.2
468,10,,1999.115385,2/11/1999,123.4
469,10,,1999.134615,2/18/1999,122
470,10,,1999.153846,2/25/1999,122.5
471,10,,1999.173077,3/4/1999,121.8
472,10,,1999.192308,3/11/1999,122.2
473,10,,1999.211538,3/18/1999,124
474,10,,1999.230769,3/25/1999,125.8
475,10,,1999.25,4/1/1999,126.2
476,10,,1999.269231,4/8/1999,126
477,10,,1999.288462,4/15/1999,126.3
478,10,,1999.307692,4/22/1999,125.7
479,10,,1999.326923,4/29/1999,126.3
480,10,,1999.346154,5/6/1999,126
481,10,,1999.365385,5/13/1999,125.2
482,10,,1999.384615,5/20/1999,126.8
483,10,,1999.403846,5/27/1999,130.7
484,10,,1999.423077,6/3/1999,130.7
485,10,,1999.442308,6/10/1999,131.9
486,10,,1999.461538,6/17/1999,135
487,10,,1999.480769,6/24/1999,140
488,10,,1999.5,7/1/1999,141.3
489,10,,1999.519231,7/8/1999,149
490,10,,1999.538462,7/15/1999,151.1
491,10,,1999.557692,7/22/1999,150.8
492,10,,1999.576923,7/29/1999,148.4
493,10,,1999.596154,8/5/1999,147.8
494,10,,1999.615385,8/12/1999,144.7
495,10,,1999.634615,8/19/1999,141.5
496,10,,1999.653846,8/26/1999,140.6
497,10,,1999.673077,9/2/1999,138.6
498,10,,1999.692308,9/9/1999,142.7
499,10,,1999.711538,9/16/1999,146.6
500,10,,1999.730769,9/23/1999,149.4
501,10,,1999.75,9/30/1999,150.9
502,10,,1999.769231,10/7/1999,153.5
503,10,,1999.788462,10/14/1999,160.7
504,10,,1999.807692,10/21/1999,166.4
505,10,,1999.826923,10/28/1999,164.1
506,10,,1999.846154,11/4/1999,160.6
507,10,,1999.865385,11/11/1999,157.1
508,10,,1999.884615,11/18/1999,152.1
509,10,,1999.903846,11/25/1999,149.9
510,10,,1999.923077,12/2/1999,144.7
511,10,,1999.942308,12/9/1999,143.7
512,10,,1999.961538,12/16/1999,142
513,10,,1999.980769,12/23/1999,144.4
514,10,,2000,12/31/1999,145.6
515,11,,2000.019231,1/7/2000,150.2
516,11,,2000.038462,1/14/2000,153.5
517,11,,2000.057692,1/21/2000,153.9
518,11,,2000.076923,1/28/2000,152.5
519,11,,2000.096154,2/4/2000,149.8
520,11,,2000.115385,2/11/2000,147.3
521,11,,2000.134615,2/18/2000,151.6
522,11,,2000.153846,2/25/2000,153.2
523,11,,2000.173077,3/3/2000,152.3
524,11,,2000.192308,3/10/2000,150.2
525,11,,2000.211538,3/17/2000,150.1
526,11,,2000.230769,3/24/2000,148.7
527,11,,2000.25,3/31/2000,148.9
528,11,,2000.269231,4/7/2000,146.4
529,11,,2000.288462,4/14/2000,142.5
530,11,,2000.307692,4/21/2000,139.6
531,11,,2000.326923,4/28/2000,138.8
532,11,,2000.346154,5/5/2000,137.7
533,11,,2000.365385,5/12/2000,140
534,11,,2000.384615,5/19/2000,145.8
535,11,,2000.403846,5/26/2000,145.6
536,11,,2000.423077,6/2/2000,144.6
537,11,,2000.442308,6/9/2000,142.6
538,11,,2000.461538,6/16/2000,146
539,11,,2000.480769,6/23/2000,142.9
540,11,,2000.5,7/1/2000,141
541,11,,2000.519231,7/8/2000,139.3
542,11,,2000.538462,7/15/2000,138.7
543,11,,2000.557692,7/22/2000,137.7
544,11,,2000.576923,7/29/2000,137.9
545,11,,2000.596154,8/5/2000,141.1
546,11,,2000.615385,8/12/2000,146.9
547,11,,2000.634615,8/19/2000,153.5
548,11,,2000.653846,8/26/2000,158.6
549,11,,2000.673077,9/2/2000,158.5
550,11,,2000.692308,9/9/2000,165.9
551,11,,2000.711538,9/16/2000,166.3
552,11,,2000.730769,9/23/2000,163.7
553,11,,2000.75,9/30/2000,165.6
554,11,,2000.769231,10/7/2000,163
555,11,,2000.788462,10/14/2000,158
556,11,,2000.807692,10/21/2000,152.6
557,11,,2000.826923,10/28/2000,145.4
558,11,,2000.846154,11/4/2000,138.4
559,11,,2000.865385,11/11/2000,135
560,11,,2000.884615,11/18/2000,133
561,11,,2000.903846,11/25/2000,131.8
562,11,,2000.923077,12/2/2000,131.9
563,11,,2000.942308,12/9/2000,131.9
564,11,,2000.961538,12/16/2000,134.7
565,11,,2000.980769,12/23/2000,139.9
566,11,,2001,12/31/2000,148
567,12,,2001.019231,1/7/2001,153.8
568,12,,2001.038462,1/14/2001,151.1
569,12,,2001.057692,1/21/2001,151.6
570,12,,2001.076923,1/28/2001,146
571,12,,2001.096154,2/4/2001,138.1
572,12,,2001.115385,2/11/2001,131
573,12,,2001.134615,2/18/2001,126.4
574,12,,2001.153846,2/25/2001,122.1
575,12,,2001.173077,3/4/2001,119.3
576,12,,2001.192308,3/11/2001,117
577,12,,2001.211538,3/18/2001,114.7
578,12,,2001.230769,3/25/2001,114
579,12,,2001.25,4/1/2001,109.7
580,12,,2001.269231,4/8/2001,108.4
581,12,,2001.288462,4/15/2001,107.5
582,12,,2001.307692,4/22/2001,104.2
583,12,,2001.326923,4/29/2001,106.3
584,12,,2001.346154,5/6/2001,109.6
585,12,,2001.365385,5/13/2001,110.9
586,12,,2001.384615,5/20/2001,109.9
587,12,,2001.403846,5/27/2001,108.7
588,12,,2001.423077,6/3/2001,108.1
589,12,,2001.442308,6/10/2001,109.8
590,12,,2001.461538,6/17/2001,108.5
591,12,,2001.480769,6/24/2001,108.9
592,12,,2001.5,7/1/2001,108.7
593,12,,2001.519231,7/8/2001,111.8
594,12,,2001.538462,7/15/2001,119.4
595,12,,2001.557692,7/22/2001,126.2
596,12,,2001.576923,7/29/2001,130.8
597,12,,2001.596154,8/5/2001,133.9
598,12,,2001.615385,8/12/2001,138.2
599,12,,2001.634615,8/19/2001,136.8
600,12,,2001.653846,8/26/2001,136.7
601,12,,2001.673077,9/2/2001,135.3
602,12,,2001.692308,9/9/2001,135.6
603,12,,2001.711538,9/16/2001,134.9
604,12,,2001.730769,9/23/2001,136
605,12,,2001.75,9/30/2001,134.8
606,12,,2001.769231,10/7/2001,135.3
607,12,,2001.788462,10/14/2001,133.2
608,12,,2001.807692,10/21/2001,133.5
609,12,,2001.826923,10/28/2001,134.2
610,12,,2001.846154,11/4/2001,135.7
611,12,,2001.865385,11/11/2001,134.5
612,12,,2001.884615,11/18/2001,136.1
613,12,,2001.903846,11/25/2001,138.1
614,12,,2001.923077,12/2/2001,137.6
615,12,,2001.942308,12/9/2001,135.5
616,12,,2001.961538,12/16/2001,135.5
617,12,,2001.980769,12/23/2001,135.7
618,12,,2002,12/31/2001,136.5
619,13,,2002.019231,1/7/2002,135.3
620,13,,2002.038462,1/14/2002,135.5
621,13,,2002.057692,1/21/2002,136.7
622,13,,2002.076923,1/28/2002,135.7
623,13,,2002.096154,2/4/2002,138.5
624,13,,2002.115385,2/11/2002,141.6
625,13,,2002.134615,2/18/2002,142.2
626,13,,2002.153846,2/25/2002,144.3
627,13,,2002.173077,3/4/2002,142.7
628,13,,2002.192308,3/11/2002,142.7
629,13,,2002.211538,3/18/2002,140.6
630,13,,2002.230769,3/25/2002,137
631,13,,2002.25,4/1/2002,133.6
632,13,,2002.269231,4/8/2002,131.6
633,13,,2002.288462,4/15/2002,131.6
634,13,,2002.307692,4/22/2002,132.2
635,13,,2002.326923,4/29/2002,137.1
636,13,,2002.346154,5/6/2002,141.7
637,13,,2002.365385,5/13/2002,141.2
638,13,,2002.384615,5/20/2002,142.3
639,13,,2002.403846,5/27/2002,142.2
640,13,,2002.423077,6/3/2002,143.7
641,13,,2002.442308,6/10/2002,149.9
642,13,,2002.461538,6/17/2002,158.2
643,13,,2002.480769,6/24/2002,163
